geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Kua,FBgn0032850,socArena - vial,-0.221197624922069,0.0518331583294531,127,-0.323766091169736,-0.118629158674402,-4.26749270256947,3.83286674893936e-05
CG1416,FBgn0032961,socArena - vial,-0.0932273747613137,0.0237626306961759,127,-0.140249332578836,-0.0462054169437913,-3.92327667560463,0.000142263524461943
Cyp6w1,FBgn0033065,socArena - vial,-0.279673240799136,0.059317143106599,127,-0.397051162321238,-0.162295319277034,-4.71488049072988,6.26335930476196e-06
Tsp42Ef,FBgn0033127,socArena - vial,-0.133422129550299,0.0306680824287246,127,-0.194108730152136,-0.0727355289484616,-4.35052076895853,2.76301133089769e-05
Nop17l,FBgn0033224,socArena - vial,-0.14456368291648,0.0202083841726113,127,-0.184552428282023,-0.104574937550937,-7.15364878664612,5.95525678291084e-11
Tsp47F,FBgn0033629,socArena - vial,-0.334636991720131,0.0804890615665415,127,-0.493910319077903,-0.175363664362359,-4.157546195808,5.8741306460837e-05
Cyp6t3,FBgn0033697,socArena - vial,-0.342263967359902,0.0646985123813812,127,-0.470290647526393,-0.214237287193412,-5.29013658524857,5.18523299898775e-07
CG8839,FBgn0033717,socArena - vial,-0.0860576940100468,0.0177375583212526,127,-0.121157120914072,-0.0509582671060213,-4.85172155329492,3.51808115427511e-06
sug,FBgn0033782,socArena - vial,0.628413064894896,0.0599889193458968,127,0.509705819427522,0.74712031036227,10.4754856688026,6.88816182098371e-19
CG6701,FBgn0033889,socArena - vial,-0.205150209208945,0.0212918023760427,127,-0.247282843679691,-0.1630175747382,-9.63517346186617,7.94461457668177e-17
CG10209,FBgn0033971,socArena - vial,0.0590235268684491,0.0139551948781776,127,0.0314087146329263,0.086638339103972,4.22950215913839,4.44587349684545e-05
CG8306,FBgn0034142,socArena - vial,-0.116616386848567,0.0279348493876035,127,-0.171894412515738,-0.0613383611813952,-4.17458441355752,5.5007372795398e-05
CG5065,FBgn0034145,socArena - vial,-0.15176680255301,0.0367539428284131,127,-0.224496222599225,-0.0790373825067945,-4.12926589295569,6.54807093100277e-05
veil,FBgn0034225,socArena - vial,-0.353257953406629,0.0734994711621193,127,-0.498700142732559,-0.207815764080699,-4.80626524002384,4.26591754865705e-06
eIF3b,FBgn0034237,socArena - vial,-0.0651010392467567,0.0137126747897624,127,-0.0922359479937658,-0.0379661304997477,-4.747508436163,5.46367381871753e-06
eIF3c,FBgn0034258,socArena - vial,-0.091954667377651,0.0170856540701598,127,-0.125764093414858,-0.0581452413404438,-5.38198110532101,3.42963082435751e-07
CG15096,FBgn0034394,socArena - vial,0.267683940179706,0.061713927667928,127,0.145563214547172,0.38980466581224,4.33749641766551,2.909370807763e-05
Jheh2,FBgn0034405,socArena - vial,-0.188918613412829,0.0379929602356086,127,-0.26409982530824,-0.113737401517419,-4.97246364171873,2.09709757443324e-06
Ugt49C1,FBgn0034605,socArena - vial,-0.146795325562796,0.0338824896734562,127,-0.213842658012998,-0.0797479931125931,-4.33248344432599,2.96766728820919e-05
FBgn0034717,FBgn0034717,socArena - vial,-0.19148409779232,0.043999352254984,127,-0.278550875548754,-0.104417320035886,-4.35197538097005,2.74711203837328e-05
mthl10,FBgn0035132,socArena - vial,-0.100096188065778,0.0188946764555112,127,-0.137485342937834,-0.0627070331937229,-5.2975867727326,5.01501600526512e-07
FBgn0035146,FBgn0035146,socArena - vial,-0.101228777125779,0.0205654797394541,127,-0.141924150174746,-0.0605334040768121,-4.9222667503144,2.60279192449342e-06
CNMa,FBgn0035282,socArena - vial,0.67828079242592,0.0796659182205303,127,0.520636317201095,0.835925267650744,8.51406482943321,4.0731845297771e-14
FBgn0035283,FBgn0035283,socArena - vial,0.0749457522043018,0.0132316762385297,127,0.0487626527866358,0.101128851621968,5.66411623540676,9.39678669221419e-08
SCOT,FBgn0035298,socArena - vial,-0.140860489703014,0.0281739160926434,127,-0.196611585236215,-0.0851093941698124,-4.99967733416352,1.86428951941818e-06
MsR1,FBgn0035331,socArena - vial,-0.18192114215303,0.0459638101086556,127,-0.27287522748541,-0.0909670568206507,-3.95792128030683,0.000125094685133616
FBgn0035553,FBgn0035553,socArena - vial,0.24102131765026,0.0603772032365145,127,0.121545728435121,0.360496906865399,3.99192583840148,0.000110176954120689
SP1173,FBgn0035710,socArena - vial,-0.0905445724713051,0.0203255621955609,127,-0.130765191997698,-0.0503239529449117,-4.45471429523756,1.82169489960101e-05
Ist1,FBgn0035715,socArena - vial,-0.0658926477268733,0.0136322614054425,128,-0.0928664059871915,-0.038918889466555,-4.83358158761293,3.77225738396922e-06
PGRP-LC,FBgn0035976,socArena - vial,-0.0779853230536272,0.0180628637589432,127,-0.1137284707125,-0.0422421753947545,-4.31743958734205,3.14943556125215e-05
NijA,FBgn0036101,socArena - vial,-0.156026826557706,0.0270458555910545,127,-0.209545693934036,-0.102507959181375,-5.76897358755817,5.75463887933942e-08
Dph1,FBgn0036194,socArena - vial,-0.154568077321055,0.0328103622401853,127,-0.21949386306261,-0.0896422915794999,-4.71095308822113,6.36693798541921e-06
