geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Pgm2a,FBgn0033377,control - up,-0.0794503073845229,0.0299619672803968,127,-0.150505385131725,-0.00839522963732121,-2.65170529828677,0.0243434280420511
Cyp4p3,FBgn0033397,control - up,0.719774534242429,0.164631917662152,127,0.329348445071419,1.11020062341344,4.37202302240997,7.49511507188716e-05
FBgn0033683,FBgn0033683,control - up,-0.158234288379734,0.0663892189758406,127,-0.31567692463115,-0.000791652128317111,-2.38343349749778,0.0485606009542775
CG8854,FBgn0033702,control - up,0.317709506573432,0.0980784729145806,127,0.0851155165642403,0.550303496582624,3.23933985850427,0.00433504188440081
CG3955,FBgn0033793,control - up,0.163759283117972,0.0557596884552518,127,0.0315246751141149,0.295993891121829,2.93687586237846,0.0109162227275028
DJ-1α,FBgn0033885,control - up,-0.549282349062849,0.148871064001241,127,-0.902331430517448,-0.19623326760825,-3.68965152998618,0.000962054918439592
CG4927,FBgn0034139,control - up,-0.494483566128563,0.200150614830852,127,-0.969142568485237,-0.0198245637718884,-2.47055731778017,0.0390765108013127
CG5002,FBgn0034275,control - up,0.185459821297862,0.0726137880255404,127,0.0132555629663558,0.357664079629369,2.55405793225704,0.0315300243004096
FBgn0034321,FBgn0034321,control - up,-0.677492682574585,0.159504586239812,127,-1.05575925867222,-0.29922610647695,-4.24748089409786,0.000122165434990551
Pepck2,FBgn0034356,control - up,-0.873955373045853,0.290092234523051,127,-1.56191174403425,-0.185999002057455,-3.01268103395717,0.00872059037408535
CG15097,FBgn0034396,control - up,0.11096232221715,0.037723355288565,127,0.0215010422608093,0.200423602173491,2.9414754167105,0.0107699322163396
mip40,FBgn0034430,control - up,-0.115452174761712,0.0367565703193826,127,-0.202620715375966,-0.0282836341474578,-3.14099421568805,0.00590030528634256
CG9864,FBgn0034490,control - up,-0.373836746141615,0.115213624945313,127,-0.647066904943048,-0.100606587340181,-3.24472688294512,0.0042615240977969
MED16,FBgn0034707,control - up,0.421220039999306,0.129384075966521,127,0.11438452779761,0.728055552201002,3.25557868580597,0.00411690973417089
asrij,FBgn0034793,control - up,-0.115478754017555,0.0366018354353086,127,-0.202280339447752,-0.0286771685873576,-3.15499899510931,0.00564951073481168
CG13877,FBgn0035112,control - up,-0.238855661288961,0.0819505613055706,127,-0.43320216232142,-0.0445091602565018,-2.91463118108899,0.0116494001614119
Herc4,FBgn0035207,control - up,0.120481262212299,0.0379851893557583,128,0.030407373699049,0.21055515072555,3.17179575133631,0.00535308268038726
CG12099,FBgn0035232,control - up,-0.0724362415565514,0.0174887356709293,127,-0.113910937165447,-0.0309615459476561,-4.1418798316541,0.000183446074587423
FBgn0035258,FBgn0035258,control - up,-0.388250725329472,0.145447940703202,127,-0.733181838768014,-0.0433196118909294,-2.66934494536246,0.0232115990353324
FBgn0035346,FBgn0035346,control - up,-0.120219753535844,0.0325180853614987,127,-0.197336688546423,-0.0431028185252657,-3.69701205342747,0.000937512351678382
Drsl5,FBgn0035434,control - up,0.390436973704675,0.100462124846467,127,0.152190131472616,0.628683815936735,3.88640967231548,0.00047589513867563
PIG-B,FBgn0035464,control - up,-0.109849283167809,0.0392352554765805,127,-0.202896048162568,-0.0168025181730495,-2.79975959971454,0.0161903258193273
mrva,FBgn0035763,control - up,0.080312229234768,0.0334620936242204,127,0.000956570048505231,0.159667888421031,2.40009576617276,0.0466084401519389
Doc2,FBgn0035956,control - up,0.725181422096536,0.179934285097232,127,0.298465629461117,1.15189721473195,4.03025705581716,0.000279717612323149
Zasp67,FBgn0036044,control - up,-0.638982347449393,0.228127764868802,127,-1.17998941542165,-0.0979752794771381,-2.80098456151041,0.016134534110037
Ir68a,FBgn0036150,control - up,-0.706995206475595,0.150085380420966,127,-1.0629240503572,-0.35106636259399,-4.7106200783353,1.89346222086995e-05
CG7573,FBgn0036153,control - up,-0.689273043240806,0.168150097403401,127,-1.08804252764697,-0.290503558834641,-4.09915339856868,0.000215802451806302
CG11597,FBgn0036212,control - up,-0.167814197564521,0.0666825699779384,127,-0.32595251838385,-0.00967587674519185,-2.51661262635861,0.0347412666193948
Tsf2,FBgn0036299,control - up,0.063406227382074,0.0242546394867984,127,0.00588612937461151,0.120926325389537,2.61418964468986,0.0269134079328067
Gbs-76A,FBgn0036862,control - up,0.183923659590549,0.0375121313003802,127,0.0949632992421257,0.272884019938972,4.90304478084092,8.41111707605702e-06
ZnT77C,FBgn0037000,control - up,-0.209474492038241,0.0856997915750325,127,-0.412712326733663,-0.00623665734281914,-2.44428239775636,0.0417528021870798
CG14636,FBgn0037217,control - up,0.386111952083423,0.0985812861642724,127,0.152325535882225,0.619898368284621,3.91668608827054,0.000426029857645061
plh,FBgn0037292,control - up,0.193229688018561,0.0607509550784476,127,0.0491582458492712,0.337301130187852,3.18068560023533,0.00521480242728156
Sec20,FBgn0037383,control - up,-0.126263368350326,0.0419306976796194,127,-0.225702399030033,-0.0268243376706183,-3.01123938635766,0.00875829493197378
Tailor,FBgn0037470,control - up,-0.0604514052586175,0.0249061705706419,127,-0.11951661515356,-0.00138619536367524,-2.42716579359954,0.0435796556725502
CG7878,FBgn0037549,control - up,0.122163592892143,0.0514944621297768,127,4.40078882716771e-05,0.244283177896014,2.37236370358166,0.0498956474267048
CG9667,FBgn0037550,control - up,0.214654338727217,0.0560285585373684,127,0.0817821028797033,0.34752657457473,3.83115940032711,0.00058147535667652
Cks85A,FBgn0037613,control - up,-0.163964299491588,0.0452074527000871,127,-0.271174184486666,-0.0567544144965095,-3.6269307315179,0.00119715515755392
hng2,FBgn0037634,control - up,-0.153165352799597,0.0535383045651718,127,-0.28013192871668,-0.0261987768825148,-2.86085549483829,0.0136087580474789
ATP6AP2,FBgn0037671,control - up,0.102176243838858,0.0295286524368294,127,0.0321487761818273,0.17220371149589,3.46024066142009,0.0021108997635404
CG18473,FBgn0037683,control - up,0.529381951444161,0.146666487613409,127,0.181561042931982,0.877202859956341,3.60942680266219,0.00127183201708825
CG9356,FBgn0037688,control - up,-0.0699187338919831,0.0254997105503205,127,-0.130391529243763,-0.00944593854020315,-2.74194225671728,0.0190278459036041
CG12948,FBgn0037739,control - up,0.0906752499449196,0.0325653278106246,127,0.013446279036825,0.167904220853014,2.78441078413884,0.0169041613075817
FBgn0037796,FBgn0037796,control - up,0.0767322511832426,0.028331311402969,127,0.00954428867134012,0.143920213695145,2.70839037741124,0.0208700999373359
CG6293,FBgn0037807,control - up,0.446442205846066,0.0823425459839272,127,0.251166109585907,0.641718302106224,5.42176830351115,8.55480752903759e-07
FBgn0037811,FBgn0037811,control - up,-0.573004535423054,0.163804519522828,127,-0.961468442385956,-0.184540628460151,-3.49809966838673,0.0018590972823147
CG5196,FBgn0038039,control - up,0.103681748988113,0.0391374910231489,127,0.0108668332833041,0.196496664692921,2.64916698228783,0.0245102361045206
CG10407,FBgn0038395,control - up,0.479967315889109,0.0887843087765872,127,0.26941452061323,0.690520111164989,5.40599259602141,9.18894549117866e-07
CG10185,FBgn0038397,control - up,0.584949934751388,0.169858517053513,127,0.182128917616164,0.987770951886611,3.44374803747465,0.00223025595072857
FBgn0038510,FBgn0038510,control - up,0.291356909981656,0.0705563115474018,127,0.124031975819655,0.458681844143657,4.12942376935214,0.000192366137351963
CG7655,FBgn0038536,control - up,0.159595797261733,0.046022899271572,127,0.0504520733103102,0.268739521213156,3.46774757322414,0.00205857082765892
CG7794,FBgn0038565,control - up,-1.529673766882,0.243016330935921,127,-2.10598920461325,-0.953358329150736,-6.29453074610589,1.37737483640876e-08
CG7720,FBgn0038652,control - up,0.218237164577167,0.0466423354886874,127,0.10762444200644,0.328849887147895,4.67895019172225,2.15966293229952e-05
