gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0031374,FBtr0333006,down - control,-0.751529575163659,0.170627066799743,812,-4.4045155862973,0.00163279530547022
FBgn0051663,FBtr0304597,down - control,0.8363162734343,0.218449200604102,268,3.82842450840534,0.00220255009308157
FBgn0086698,FBtr0333544,down - control,2.16590939336507,0.528606199440146,268,4.09739688194919,0.00078027435361705
FBgn0028481,FBtr0077949,down - control,-0.241298483724751,0.0805163729054276,268,-2.99688715496629,0.0350002164919446
FBgn0031322,FBtr0335379,down - control,0.339963989374944,0.0685209858918427,404,4.9614579380332,3.6169069696057e-05
FBgn0031282,FBtr0332972,down - control,0.2031667817385,0.0553288045957606,268,3.67198935930142,0.00390578498257532
FBgn0029095,FBtr0078031,down - control,-0.383215619211411,0.0973432808536419,268,-3.93674443526909,0.00146169531369167
FBgn0031270,FBtr0310023,down - control,0.350863893258922,0.0753163632108898,269,4.65853472341043,7.30332946780043e-05
FBgn0031264,FBtr0332341,down - control,1.41261204679296,0.326707707617871,268,4.32377937175942,0.000310004024409394
FBgn0028427,FBtr0307160,down - control,0.175799097011992,0.0520303567178659,268,3.37877939152447,0.0107225380920564
FBgn0052452,FBtr0078523,down - control,-0.313210670228195,0.0862921975114761,269,-3.62965226591362,0.00453987078489937
FBgn0027339,FBtr0333213,down - control,0.98687132832975,0.273138748338495,676,3.61307699596962,0.0252880796907995
FBgn0283535,FBtr0346137,down - control,-0.124885856295248,0.0245261956057953,269,-5.0919375472052,9.8542869707563e-06
FBgn0053113,FBtr0079042,down - control,0.543022234736869,0.0611173944276317,812,8.88490485928445,3.47721851312599e-13
FBgn0031765,FBtr0079224,down - control,-0.202805877097127,0.0608735826514158,268,-3.33159095068328,0.0125137925625657
FBgn0031765,FBtr0343131,down - control,0.229956400382895,0.06237093728678,268,3.68691590003789,0.00370173188520895
FBgn0031818,FBtr0303229,down - control,-0.152274601044582,0.0412110335868899,268,-3.69499592199075,0.00359543799542994
FBgn0031816,FBtr0331186,down - control,-0.413805319087785,0.123336505946843,268,-3.35509195684635,0.011590432249112
FBgn0028990,FBtr0333351,down - control,0.30143097756019,0.0884609558832423,268,3.4075030565806,0.00974935303980951
FBgn0263200,FBtr0333352,down - control,-2.03181767983343,0.459930931710026,268,-4.41765826072866,0.000208711997499722
FBgn0031832,FBtr0343162,down - control,0.281914999364486,0.0955281872028665,268,2.95111848784279,0.0399067712266259
FBgn0031908,FBtr0079441,down - control,-1.74779594627182,0.453582879006606,268,-3.85331110843441,0.00200645596385507
FBgn0031950,FBtr0343403,down - control,0.141185327547472,0.0480444271287475,268,2.93864108669939,0.0413430825822011
FBgn0031948,FBtr0343405,down - control,0.302452257502809,0.0630359351890213,405,4.79809265295846,7.83851042737149e-05
FBgn0260479,FBtr0079502,down - control,0.954913479199649,0.272051579984437,268,3.51004570256227,0.0068946615913984
FBgn0031972,FBtr0079550,down - control,0.545654885094718,0.156371074756242,268,3.48948733610297,0.00739681163225303
FBgn0031972,FBtr0343384,down - control,-0.539862537692698,0.156388570850953,268,-3.45205877101605,0.00839770674853335
FBgn0031970,FBtr0344063,down - control,0.556912207801549,0.152609659524563,268,3.64925922472104,0.00423659003768817
FBgn0045038,FBtr0079562,down - control,-0.456657388544965,0.106407678213485,268,-4.29158305313997,0.000354445493615629
FBgn0032002,FBtr0079593,down - control,1.4594453613862,0.439869912779039,268,3.31790222287679,0.013081735970133
FBgn0032010,FBtr0332362,down - control,0.340227458415341,0.0819057820780264,676,4.15388816007187,0.00334828395358233
FBgn0032010,FBtr0332365,down - control,-0.427535270709191,0.0859235338478025,676,-4.97576451483584,8.30672420557566e-05
FBgn0032000,FBtr0079633,down - control,0.169229621948496,0.0497238450241878,268,3.40338969896988,0.00988360959758139
FBgn0032116,FBtr0303896,down - control,-1.13197897904084,0.353600594864313,268,-3.20129263208739,0.018942696770722
FBgn0032135,FBtr0079841,down - control,0.197475116901647,0.0579491692853878,268,3.4077299008226,0.00974199746302584
FBgn0032198,FBtr0079951,down - control,0.330962237968613,0.101776601397216,268,3.25184996772416,0.0161619723739747
FBgn0051719,FBtr0080039,down - control,-0.407302300206795,0.0751590493443336,404,-5.4192050559445,3.66292015263614e-06
FBgn0032297,FBtr0080118,down - control,0.213412920567909,0.0581497990854536,268,3.67005430671031,0.00393298741671411
FBgn0032472,FBtr0345616,down - control,0.482771374748218,0.140485427670946,268,3.43645161460443,0.00885040725257424
FBgn0028938,FBtr0302990,down - control,1.42481588768564,0.476820059145968,268,2.98816264197783,0.0358929989045059
FBgn0028939,FBtr0080588,down - control,-0.678959148045279,0.193437590632506,268,-3.50996487200448,0.0068965732670716
FBgn0028939,FBtr0343689,down - control,0.598243870125961,0.155258819139251,268,3.85320378863244,0.00200726541206986
FBgn0000307,FBtr0080838,down - control,-0.175270040899933,0.0442598011526475,269,-3.96002775284607,0.00133539054730025
FBgn0000307,FBtr0321313,down - control,0.11595729988006,0.0397838137769438,269,2.91468536752657,0.0442153749547676
FBgn0032600,FBtr0080893,down - control,0.144018116740098,0.0386549191789579,404,3.72573840015931,0.00682679404386455
FBgn0032600,FBtr0329945,down - control,-0.126011002853148,0.0368572074223706,404,-3.41889718906555,0.0197106766380578
FBgn0032600,FBtr0343767,down - control,-0.147181464527054,0.0418030113543964,404,-3.52083402028824,0.0140230648289575
FBgn0264695,FBtr0080897,down - control,-1.06252350529026,0.206363187896942,813,-5.14880350569543,4.85045018999708e-05
FBgn0027779,FBtr0080941,down - control,-0.144247992645472,0.0372148217549334,405,-3.87608984386309,0.0039089097483247
FBgn0032629,FBtr0080971,down - control,0.354998408656961,0.0941342298744397,268,3.77119363626252,0.00272334842430333
FBgn0086443,FBtr0332578,down - control,0.411719406206511,0.0778853633569874,268,5.28622309071597,3.84303570721833e-06
FBgn0032810,FBtr0336619,down - control,0.216906445026848,0.0613325063923057,269,3.53656580801433,0.00628968367049432
FBgn0032820,FBtr0081321,down - control,0.421056242671227,0.129965793339678,269,3.23974664295517,0.0167860238855504
FBgn0045064,FBtr0331184,down - control,-0.209363485164836,0.0484186858631803,269,-4.32402246018092,0.000309323493723923
FBgn0032889,FBtr0081418,down - control,1.05389610040177,0.163521813217091,540,6.44498785616218,1.72410635768117e-08
FBgn0002306,FBtr0334884,down - control,0.435215968817558,0.145282312392834,269,2.99565694990291,0.0351158347445303
FBgn0263231,FBtr0081888,down - control,-0.186727321319937,0.0426914214908627,269,-4.37388390451938,0.000250915785977024
FBgn0037613,FBtr0305339,down - control,0.236461595590921,0.0493247312665121,404,4.79397635870064,7.99687682209171e-05
